region,type,symbol,name
Frankfurt-XETRA,Mutual Fund,515262.FRK,"Deka-Technologie CF"
Frankfurt-XETRA,Mutual Fund,515361.FRK,"Warburg Privat Consult-Fonds"
Frankfurt-XETRA,Mutual Fund,515386.FRK,"MPF Global Fonds-Warburg"
Frankfurt-XETRA,Mutual Fund,532431.FRK,"APO Forte INKA"
Frankfurt-XETRA,Mutual Fund,678026.FRK,"Warburg Zukunft-Strategiefonds A"
Frankfurt-XETRA,Mutual Fund,847402.FRK,"DWS Akkumula LC"
Frankfurt-XETRA,Mutual Fund,847421.FRK,"DWS Telemedia Typ O ND"
Frankfurt-XETRA,Mutual Fund,847451.FRK,"AriDeka CF"
Frankfurt-XETRA,Mutual Fund,847466.FRK,"DekaSpezial CF"
Frankfurt-XETRA,Mutual Fund,847509.FRK,"Allianz Rohstofffonds"
Frankfurt-XETRA,Mutual Fund,849081.FRK,"DWS US Equities Typ O NC"
Frankfurt-XETRA,Mutual Fund,849481.FRK,"OKWLCO-Fonds"
Frankfurt-XETRA,Mutual Fund,975788.FRK,"MVB TrendStrategie: Value"
Frankfurt-XETRA,Mutual Fund,976327.FRK,"Ve-RI Listed Real Estate"
Frankfurt-XETRA,Mutual Fund,976530.FRK,"Warburg - Multi-Asset - Select-Fonds"
Frankfurt-XETRA,Mutual Fund,976685.FRK,"FVB-Deutscher Rentenfonds"
Frankfurt-XETRA,Mutual Fund,976686.FRK,"FVB-Deutscher Aktienfonds"
Frankfurt-XETRA,Mutual Fund,976985.FRK,"DWS Health Care Typ O NC"
Frankfurt-XETRA,Mutual Fund,976989.FRK,"DWS Vorsorge AS (Flex)"
Frankfurt-XETRA,Mutual Fund,979583.FRK,"First Private Europa Aktien ULM A"
Frankfurt-XETRA,Mutual Fund,980708.FRK,"grundbesitz Fokus Deutschland RC"
Frankfurt-XETRA,Mutual Fund,A0D95T.FRK,"efv-Perspektive-Fonds I"
Frankfurt-XETRA,Mutual Fund,A0DJ32.FRK,"TMW Immobilien Weltfonds"
Frankfurt-XETRA,Mutual Fund,A0ER3J.FRK,"HI-Absolute Return-Fonds"
Frankfurt-XETRA,Mutual Fund,A0M028.FRK,"PB VP Klassik 70 PI 1"
Frankfurt-XETRA,Mutual Fund,A0M1U2.FRK,"FFPB Substanz"
Frankfurt-XETRA,Mutual Fund,A0M2H6.FRK,"MuP Verm?gensverwaltung Horizont 5"
Frankfurt-XETRA,Mutual Fund,A0M2H7.FRK,"MuP Verm?gensverwaltung Horizont 10"
Frankfurt-XETRA,Mutual Fund,A0M6MX.FRK,"MPF ATHENE"
Frankfurt-XETRA,Mutual Fund,A0M6W7.FRK,"DWS Qi Exklusiv Renten Chance"
Frankfurt-XETRA,Mutual Fund,A0M8HA.FRK,"MPF ALLEGRO"
Frankfurt-XETRA,Mutual Fund,A0M8HB.FRK,"MPF TRUE VALUE"
Frankfurt-XETRA,Mutual Fund,A0MKLM.FRK,"HI-Aktien Spezial 3-Fonds"
Frankfurt-XETRA,Mutual Fund,A0NAUV.FRK,"Warburg Portfolio Flexibel T"
Frankfurt-XETRA,Mutual Fund,A0NGJ7.FRK,"C-QUADRAT APM Asian Quality Stocks AMI R"
Frankfurt-XETRA,Mutual Fund,A0RDT3.FRK,"HI-Corporate Bonds 2-Fonds"
Frankfurt-XETRA,Mutual Fund,A0RHEE.FRK,"Warburg Zukunft-Strategiefonds B"
Frankfurt-XETRA,Mutual Fund,A0X758.FRK,"ACATIS IfK Value Renten A"
