symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
CMLS,Cumulus Media Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.8571
CMLAX,American Funds American Mutual 529A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
CMLEF,Cominar Real Estate Investment Trust,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
CMLPTX,"Guggenheim Defined Portfolios, ",Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
CMLIX,Congress Large Cap Growth Institutional,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.6667
CMLPRX,"Guggenheim Defined Portfolios, ",Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.6667
