symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
BCDMF,Kuuhubb Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
KUU.TRV,Kuuhubb Inc.,Equity,Toronto Venture,09:30,16:00,UTC-05,CAD,0.4000
59BF.BER,KUUHUBB INC.,Equity,Berlin,08:00,20:00,UTC+01,EUR,0.4000
