symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
EIITX,First Investors Tax Exempt Opps A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
EIIFX,Eaton Vance Balanced I,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
EIIMX,Eaton Vance Diversified Currency Inc I,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
EIISX,Parametric International Equity Instl,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
EIINX,First Investors Tax Exempt Opps Instl,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
EIIUX,First Investors Tax Exempt Opps B,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
EIIAX,First Investors Tax Exempt Opps Advisor,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
EII.MUN,EISAI CO. LTD,Equity,Munich,08:00,20:00,UTC+01,EUR,0.7500
EII.FRK,Eisai Co. Ltd.,Equity,Frankfurt,08:00,20:00,UTC+01,EUR,0.6667
