symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
WAUCX,Western Asset Total Return Uncons C,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
WAUAX,Western Asset Total Return Uncons A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
WAURX,Western Asset Total Return Uncons R,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
509597.BSE,Hardcastle and Waud Manufacturing Company Limited,Equity,India/Bombay,09:15,15:30,UTC+5.5,INR,0.1538
HARDCAS.BSE,Hardcastle and Waud Manufacturing Company Limited,Equity,India/Bombay,09:15,15:30,UTC+5.5,INR,0.1154
