symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
PMD,Psychemedics Corporation,Equity,United States,09:30,16:00,UTC-05,USD,0.2857
3P9.BER,"PSYCHEMEDICS CORP.DL-,005",Equity,Berlin,08:00,20:00,UTC+01,EUR,0.2759
