symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
ORFDF,Orefinders Resources Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
ORFFX,Aquila Tax-Free Trust of Oregon F,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
ORM.TRV,Orford Mining Corporation,Equity,Toronto Venture,09:30,16:00,UTC-05,CAD,0.5000
