symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
WYDB.HAM,VONTOBEL-EM.MKTS EQU.A-DL,ETF,Hamburg,08:00,20:00,UTC+01,EUR,0.8000
WYDB.FRK,Vontobel Fund - Emerging Markets Equity Fund,ETF,Frankfurt,08:00,20:00,UTC+01,EUR,0.7273
WYDB.BER,VONTOBEL-EM.MKTS EQU.A-DL,ETF,Berlin,08:00,20:00,UTC+01,EUR,0.7273
WYDB.DUS,VONTOBEL-EM.MKTS EQU.A-DL,ETF,Dusseldorf,08:30,20:00,UTC+01,EUR,0.7273
WYDB.MUN,VONTOBEL-EM.MKTS EQU.A-DL,ETF,Munich,08:00,20:00,UTC+01,EUR,0.7273
WYDB.STG,Vontobel-Emerging Markets Equ.A,Mutual Fund,Stuttgart,08:00,20:00,UTC+01,EUR,0.7273
