symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
LGRDY,Legrand SA,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
LGRRX,Loomis Sayles Growth A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
LGRNX,Loomis Sayles Growth N,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
LGRCX,Loomis Sayles Growth C,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
LGRVF,Legrand SA,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
LGRSX,Scharf R6,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
LGREF,Logan Resources Ltd.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
LGR.FRK,Spire Inc.,Equity,Frankfurt,08:00,20:00,UTC+01,EUR,0.7500
LGRA.LON,ETFS 2x Daily Long Grains ETC,ETF,United Kingdom,08:00,16:30,UTC+00,GBP,0.6667
