symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
RHT,Red Hat Inc.,Equity,United States,09:30,16:00,UTC-05,USD,1.0000
RLGHF,RHT Health Trust,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
RHT.TRV,Reliq Health Technologies Inc.,Equity,Toronto Venture,09:30,16:00,UTC-05,CAD,0.6667
RHT.AUS,Resonance Health Limited,Equity,Australia,10:00,16:00,UTC+11,AUD,0.6667
RF1U.SGP,RHT Health Trust,Equity,Singapore,09:00,17:00,UTC+08,SGD,0.5000
RHT.MEX,Red Hat Inc.,Equity,Mexico,08:30,15:00,UTC-06,MXP,0.3158
