symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
GDUA.FRK,Gerdau S.A.,Equity,Frankfurt,08:00,20:00,UTC+01,EUR,0.8000
GDUA.MUN,GERDAU S.A. PFD ADR 1,Equity,Munich,08:00,20:00,UTC+01,EUR,0.7273
GDUA.BER,GERDAU S.A. PFD ADR 1,Equity,Berlin,08:00,20:00,UTC+01,EUR,0.7273
GDUA.STG,GERDAU S.A. Reg. Pfd Shs (Sp.AD,Equity,Stuttgart,08:00,20:00,UTC+01,EUR,0.7273
