symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
DWDP,DowDuPont Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.7500
DWDP.MEX,DowDuPont Inc.,Equity,Mexico,08:30,15:00,UTC-06,MXP,0.5455
6D8.FRK,DOWDUPONT INC.  O.N.,Equity,Frankfurt,08:00,20:00,UTC+01,EUR,0.5455
0ICQ.LON,DowDuPont Inc.,Equity,United Kingdom,08:00,16:30,UTC+00,GBP,0.4444
6D8.HAN,DOWDUPONT INC.  O.N.,Equity,Hanover,08:00,20:00,UTC+01,EUR,0.4444
6D8.HAM,DOWDUPONT INC.  O.N.,Equity,Hamburg,08:00,20:00,UTC+01,EUR,0.3333
6D8.MUN,DOWDUPONT INC.  O.N.,Equity,Munich,08:00,20:00,UTC+01,EUR,0.3333
6D8.STG,DowDuPont Inc.,Equity,Stuttgart,08:00,20:00,UTC+01,EUR,0.3333
DWDP.VIE,DowDuPont Inc.,Equity,Vienna,08:55,17:35,UTC+01,EUR,0.3333
