symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
CSPI,CSP Inc.,Equity,United States,09:30,16:00,UTC-05,USD,0.8571
CSPRX,Columbia Select Small Cap Value Adv,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
CSPGX,Astor Sector Allocation C,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
CSPAX,American Funds SMALLCAP World 529A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
CSPPX,FA Small Cap 529 Port A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
CSPYX,Columbia Small Cap Index Inst3,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
CSPFX,American Funds SMALLCAP World 529F,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.7500
