symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
SMNUF,PT Sarana Menara Nusantara Tbk,Equity,United States,09:30,16:00,UTC-05,USD,0.8889
MENAX,Madison Covered Call & Equity Income A,Mutual Fund,United States,09:30,16:00,UTC-05,USD,0.5333
TOWR.JKT,PT Sarana Menara Nusantara Tbk,Equity,Jakarta,09:00,16:00,UTC+07,IDR,0.4444
MENAMANI.BSE,MENA MANI INDUSTRIES LIMITED,Equity,India/Bombay,09:15,15:30,UTC+5.5,INR,0.3636
F00000Q100.BCL,Menara Capital SICAV,Mutual Fund,Barcelona,09:00,17:30,UTC+01,EUR,0.3333
1694.KLA,Menang Corp. M Bhd,Equity,Malaysia,09:00,17:00,UTC+08,MYR,0.2353
