region,type,symbol,name
Brussels,Equity,ABI.BRU,"Anheuser-Busch InBev SA-NV"
Brussels,Equity,ABO.BRU,"ABO-Group Environment NV"
Brussels,Equity,ACCB.BRU,"Accentis N.V."
Brussels,Equity,ACKB.BRU,"Ackermans & Van Haaren NV"
Brussels,Equity,ACPH.BRU,"Acacia Pharma Group plc"
Brussels,Equity,AGFB.BRU,"Agfa-Gevaert NV"
Brussels,Equity,AGS.BRU,"ageas SA-NV"
Brussels,Equity,ALEVA.BRU,"Evadix Sa"
Brussels,Equity,ALKKO.BRU,"KKO International SA"
Brussels,Equity,ALPBS.BRU,"EuroPubliDis SA"
Brussels,Equity,ATEB.BRU,"Atenor SA"
Brussels,Equity,B315.BRU,"OLO4%28MAR19"
Brussels,Equity,B318.BRU,"OLO3,75%28SEP20"
Brussels,Equity,BBV.BRU,"Banco Bilbao Vizcaya Argentaria, S.A."
Brussels,Equity,BE0001711622.BRU,"RWALLO FRN28SEP19"
Brussels,Equity,BE0001712638.BRU,"RWALLO 4%28JAN19"
Brussels,Equity,BE0002239086.BRU,"ELIA1.375%27MAY24"
Brussels,Equity,BE0002596741.BRU,"ELIA1.5%5SEP28"
Brussels,Equity,BE0002623040.BRU,"BRUCAP1.99%30NOV50"
Brussels,Equity,BE0003256550.BRU,"CHARB. HASARD"
Brussels,Equity,BE0022780820.BRU,"VDK BANK"
Brussels,Equity,BE0032095854.BRU,"BHA"
Brussels,Equity,BE0941244536.BRU,"ETEX"
Brussels,Equity,BEAB.BRU,"Immo-Beaulieu NV"
Brussels,Equity,BEFB.BRU,"Befimmo SA"
Brussels,Equity,BEKB.BRU,"NV Bekaert SA"
Brussels,Equity,BMIA.BRU,"BMI CLASS A 04-64"
Brussels,Equity,BPOST.BRU,"bpost SA-NV"
Brussels,Equity,BREB.BRU,"Brederode SA"
Brussels,Equity,CFEB.BRU,"Compagnie d'Entreprises CFE SA"
Brussels,Equity,CIS.BRU,"Cisco Systems Inc."
Brussels,Equity,COFB.BRU,"Cofinimmo SA"
Brussels,Equity,COLR.BRU,"Etn. Fr. Colruyt NV"
Brussels,Equity,CYAD.BRU,"Celyad SA"
Brussels,Equity,DECB.BRU,"Deceuninck NV"
Brussels,Equity,DEXB.BRU,"Dexia SA"
Brussels,Equity,EAN25.BRU,"FLUVIUS2%23JUN2025"
Brussels,Equity,ELI.BRU,"Elia System Operator SA"
Brussels,Equity,EMIA.BRU,"ESMEEAFRN25OCT52"
Brussels,Equity,ENGB.BRU,"Rosier SA"
Brussels,Equity,EXM.BRU,"Exmar NV"
Brussels,Equity,EZBG.BRU,"Eckert & Ziegler BEBIG S.A."
Brussels,Equity,GBLB.BRU,"Groupe Bruxelles Lambert SA"
Brussels,Equity,GIMB.BRU,"GIMV NV"
Brussels,Equity,GRY19.BRU,"Greenyard Foods NV, Prior to Reverse Merger with Univeg Belgium NV and Peatinvest NV 5% SNR BDS 05-07-2019 EUR1000"
Brussels,Equity,HAMO.BRU,"Hamon & Cie (International) SA"
Brussels,Equity,IEP.BRU,"Iep Invest, NV"
Brussels,Equity,KBC.BRU,"KBC Group NV"
Brussels,Equity,KBCA.BRU,"KBC Ancora SCA"
Brussels,Equity,KKOWA.BRU,"KKO INT WARRANT A"
Brussels,Equity,LRE19.BRU,"LEASINV3.75%9OCT19"
Brussels,Equity,LUXA.BRU,"Immo Lux-Airport SA"
Brussels,Equity,MDXH.BRU,"MDxHealth SA"
Brussels,Equity,MIKO.BRU,"Miko NV"
Brussels,Equity,OIM.BRU,"Opportunity Investment Management Plc"
Brussels,Equity,OXUR.BRU,"Oxurion NV"
Brussels,Equity,PCBB.BRU,"PCB NV"
Brussels,Equity,QRF.BRU,"Qrf Comm. VA"
Brussels,Equity,REI.BRU,"Reibel S.A."
Brussels,Equity,RWA1.BRU,"RWALLO4,25%8APR30"
Brussels,Equity,SIOE.BRU,"Sioen Industries NV"
Brussels,Equity,SIP.BRU,"SIPEF NV"
Brussels,Equity,SOLB.BRU,"Solvay SA"
Brussels,Equity,TERB.BRU,"Ter Beke NV"
Brussels,Equity,TESB.BRU,"Tessenderlo Group NV"
Brussels,Equity,TISN.BRU,"Tiscali Spa"
Brussels,Equity,TNET.BRU,"Telenet Group Holding NV"
Brussels,Equity,UMI.BRU,"Umicore S.A."
Brussels,Equity,VAN.BRU,"Van de Velde NV"
Brussels,Equity,VDM22.BRU,"Vandemoortele NV 3.06% BDS 10-06-2022 EUR1000"
Brussels,Equity,VGP.BRU,"VGP NV"
Brussels,Equity,VGP18.BRU,"VGP 5.1%6DEC18"
Brussels,Equity,VGP23.BRU,"VGP NV 3.9% BDS 21-09-2023 EUR1000"
Brussels,Equity,VGP24.BRU,"Van Genechten Packaging N.V. 3.25% SUB NTS 06-07-2024 EUR1000"
Brussels,Equity,WDF22.BRU,"WDPFRN2JUL22"
Brussels,Equity,WDF26.BRU,"WDPFRN1APR26"
Brussels,Equity,WDP.BRU,"Warehouses De Pauw"
Brussels,Equity,WEHB.BRU,"Wereldhave Belgium"
Brussels,Equity,XIOR.BRU,"Xior Student Housing NV"
Brussels,Equity,XS1917922897.BRU,"GGZNHN2.5%12DEC48"
