region,type,symbol,name
Stuttgart,Equity,013A.STG,"JD.com Inc. R.Shs Cl.A(Sp.ADRs)"
Stuttgart,Equity,019.STG,"Duluxgroup Ltd. Registered Shar"
Stuttgart,Equity,01X.STG,"CellCube Energy Storage Sy.IncR"
Stuttgart,Equity,09Y.STG,"Ya-Man Ltd."
Stuttgart,Equity,0AV.STG,"Dova Pharmaceuticals Inc. Regis"
Stuttgart,Equity,0BB.STG,"Betbull Holding SE Inhaber-Akti"
Stuttgart,Equity,0CI.STG,"China Cinda Asset Mgmt Co.Ltd.R"
Stuttgart,Equity,0EF.STG,"e.l.f. Beauty Inc."
Stuttgart,Equity,0H9.STG,"Seibu Holdings Inc. Registered "
Stuttgart,Equity,0HE1.STG,"Maya Gold & Silver Inc. Registe"
Stuttgart,Equity,0LL1.STG,"Lautan Luas, PT Registered Shar"
Stuttgart,Equity,0M6.STG,"Myomo Inc."
Stuttgart,Equity,0N6.STG,"NOXXON Pharma N.V."
Stuttgart,Equity,0NH.STG,"Nomad Foods Ltd. Reg.Shares (DI"
Stuttgart,Equity,0NU.STG,"Nutanix Inc. Reg. Shares CL A o"
Stuttgart,Equity,0O9.STG,"Niu Technologies Rg.Sh.(ADRs)-2"
Stuttgart,Equity,0OC.STG,"Ocado Group PLC Registered Shar"
Stuttgart,Equity,0OK.STG,"Okta Inc. Registered Shares Cl."
Stuttgart,Equity,0OT.STG,"Ocular Therapeutix Inc. Registe"
Stuttgart,Equity,0PB.STG,"Puma Biotechnology Inc. Registe"
Stuttgart,Equity,0PY.STG,"Paycom Software Inc. Registered"
Stuttgart,Equity,0QW.STG,"Wetherspoon (J D) Registered Sh"
Stuttgart,Equity,0QY.STG,"QYou Media Inc. Registered Shar"
Stuttgart,Equity,0RC.STG,"RPC GROUP PLC Registered Shares"
Stuttgart,Equity,0TD.STG,"Global Li-Ion Graphite Corp. Re"
Stuttgart,Equity,0U31.STG,"Jaxon Mining Inc. Registered Sh"
Stuttgart,Equity,0V3.STG,"CVD Equipment Corp. Registered "
Stuttgart,Equity,0WP.STG,"WPP PLC Registered Shares LS -,"
Stuttgart,Equity,0YE.STG,"Yext Inc. Registered Shares o.N"
Stuttgart,Equity,0ZD.STG,"Zendesk Inc. Registered Shares "
Stuttgart,Equity,0ZPN.STG,"Zosano Pharma Corp. Registered "
Stuttgart,Equity,10I.STG,"KIER GROUP PLC Registered Share"
Stuttgart,Equity,10J.STG,"Howden Joinery Group PLC Regist"
Stuttgart,Equity,11C.STG,"11 bit studios S.A."
Stuttgart,Equity,13S.STG,"Sanchez Energy Corp. Registered"
Stuttgart,Equity,169.STG,"Aeroporto Gug.Marconi d.Bo.SpAA"
Stuttgart,Equity,16S.STG,"PT Sawit Sumbermas Sarana Tbk."
Stuttgart,Equity,16U.STG,"Upland Software Inc."
Stuttgart,Equity,17SA.STG,"Vedanta Ltd. Reg. Sh. (Spons. A"
Stuttgart,Equity,19YA.STG,"Yirendai Ltd. Reg. Sh.(Sp.ADRs)"
Stuttgart,Equity,1A1.STG,"Achaogen Inc. Registered Shares"
Stuttgart,Equity,1BT.STG,"Bioblast Pharma Ltd. Registered"
Stuttgart,Equity,1DF.STG,"Exeblock Technology Corp. Regis"
Stuttgart,Equity,1EHA.STG,"eHi Car Services Ltd. R.Shs Cl."
Stuttgart,Equity,1ES.STG,"goeasy Ltd."
Stuttgart,Equity,1EX.STG,"Exmar NV"
Stuttgart,Equity,1FN.STG,"Fnac Darty Actions Port. EO 1"
Stuttgart,Equity,1GT.STG,"GEK TERNA S.A. Namens-Aktien EO"
Stuttgart,Equity,1GU.STG,"GrubHub Inc. Registered Shares "
Stuttgart,Equity,1H9.STG,"Getbusy PLC Registered Shares L"
Stuttgart,Equity,1HTA.STG,"Hyatt Hotels Corp. Registered S"
Stuttgart,Equity,1K1.STG,"Qube Holdings Limited"
Stuttgart,Equity,1KK.STG,"Gaussin SA"
Stuttgart,Equity,1LUA.STG,"Leju Holdings Ltd. Reg.Shares ("
Stuttgart,Equity,1PJ.STG,"PJT Partners Inc."
Stuttgart,Equity,1Q7.STG,"Asmallworld AG"
Stuttgart,Equity,1QL1.STG,"Yulong Eco-Materials Limited"
Stuttgart,Equity,1QU.STG,"Qudian Inc. Reg. Shares (ADRs)-"
Stuttgart,Equity,1RN.STG,"NuRAN Wireless Inc. Registered "
Stuttgart,Equity,1RO.STG,"Broccoli Co. Ltd."
Stuttgart,Equity,1RY.STG,"LPP S.A. Inhaber-Aktien ZY 2"
Stuttgart,Equity,1S3.STG,"Sesa S.p.A. Azioni nom. o. N."
Stuttgart,Equity,1TF.STG,"Tipco Foods Public Company Limited"
Stuttgart,Equity,1VV.STG,"VinaCapital Vietnam Opp.Fd.LtdR"
Stuttgart,Equity,1XMA.STG,"Ximen Mining Corp. Registered S"
Stuttgart,Equity,1XV.STG,"Axway Software Actions Port. EO"
Stuttgart,Equity,1Y6.STG,"Zuger Kantonalbank"
Stuttgart,Equity,1YN.STG,"Yeti Holdings Inc. Registered S"
Stuttgart,Equity,1YX.STG,"Yixin Group Ltd. Registered Shs"
Stuttgart,Equity,1Z6.STG,"BFW Liegenschaft AG Namens-Akti"
Stuttgart,Equity,1ZL.STG,"Zai Lab Ltd. Reg. Shares (ADRs)"
Stuttgart,Equity,1ZM.STG,"Hirata Corp. Registered Shares "
Stuttgart,Equity,1ZT.STG,"Guyana Goldstrike Inc. Register"
Stuttgart,Equity,20MN.STG,"Meadow Bay Gold Corp. Registere"
Stuttgart,Equity,22F.STG,"Firan Technology Group Corporation"
Stuttgart,Equity,22M.STG,"Myanmar Investments International Limited"
Stuttgart,Equity,23E1.STG,"Ekso Bionics Holdings Inc. Regi"
Stuttgart,Equity,23Z.STG,"Zotefoams plc"
Stuttgart,Equity,25B.STG,"Athabasca Minerals Inc. Registe"
Stuttgart,Equity,26R.STG,"RMR Group Inc. Registered Share"
Stuttgart,Equity,27F.STG,"Kala Pharmaceuticals Inc. Regis"
Stuttgart,Equity,28F.STG,"Fastighets AB Balder Namn-Aktie"
Stuttgart,Equity,28T.STG,"TopBuild Corp. Registered Share"
Stuttgart,Equity,290.STG,"Aduro Biotech Inc. Registered S"
Stuttgart,Equity,29B.STG,"Bufab AB Namn-Aktier o.N."
Stuttgart,Equity,2AW.STG,"AwoX S.A. Actions Nom. EO -,25"
Stuttgart,Equity,2B5.STG,"BAIC Motor Corp. Ltd. Registere"
Stuttgart,Equity,2DS.STG,"Dutch Star Companies ONE NV Aan"
Stuttgart,Equity,2EP.STG,"Grivalia Properties REIC Namens"
Stuttgart,Equity,2F9.STG,"Bacanora Lithium PLC Registered"
Stuttgart,Equity,2GK.STG,"GIMA TT S.p.A."
Stuttgart,Equity,2HK.STG,"HKBN Ltd. Registered Shares HD "
Stuttgart,Equity,2IY.STG,"Cushman and Wakefield PLC Regis"
Stuttgart,Equity,2MM.STG,"Meridian Mining SE Aandelen aan"
Stuttgart,Equity,2MN.STG,"Montagne et Neige Dvelopp.SA Ac"
Stuttgart,Equity,2MY.STG,"MySale Group plc"
Stuttgart,Equity,2NY2.STG,"E-Play Digital Inc. Registered "
Stuttgart,Equity,2PE.STG,"B.Pembang.Daerah Jawa B.d.Ban.R"
Stuttgart,Equity,2PN.STG,"Polski Hldg Nieruchomosci S.A.I"
Stuttgart,Equity,2QO.STG,"Qorvo Inc. Registered Shares DL"
Stuttgart,Equity,2S9.STG,"SendGrid Inc."
Stuttgart,Equity,2TJ.STG,"Tejon Ranch Co."
Stuttgart,Equity,2U2.STG,"UBM Development AG Inhaber-Akti"
Stuttgart,Equity,2VS.STG,"Verastem Inc. Registered Shares"
Stuttgart,Equity,2WBA.STG,"Weibo Corp. R.Sh.Cl.A(sp.ADRs)-"
Stuttgart,Equity,2XI.STG,"Xiwang Special Steel Co.Ltd Reg"
Stuttgart,Equity,30M.STG,"Myer Holdings Ltd. Registered S"
Stuttgart,Equity,31D1.STG,"Dtwyler Holding AG Inhaber-Akti"
Stuttgart,Equity,31V.STG,"Vinda International Hldgs Ltd.R"
Stuttgart,Equity,31Z.STG,"Katanga Mining Ltd. Registered "
Stuttgart,Equity,32D.STG,"DHI Group Inc. Registered Share"
Stuttgart,Equity,33L.STG,"Lululemon Athletica Inc. Regist"
Stuttgart,Equity,35OA.STG,"Och-Ziff Capital Manag.Gr.LLC R"
Stuttgart,Equity,38D.STG,"GoDaddy Inc. Registered Shares "
Stuttgart,Equity,39R.STG,"Reeds Inc. Registered Shares DL"
Stuttgart,Equity,3A2.STG,"AVZ Minerals Ltd. Registered Sh"
Stuttgart,Equity,3B4.STG,"Buxton Resources Ltd. Registere"
Stuttgart,Equity,3B7.STG,"Beadell Resources Ltd. Register"
Stuttgart,Equity,3BG.STG,"u-blox Holding AG Namens-Aktien"
Stuttgart,Equity,3DO.STG,"dotDigital Group PLC Registered"
Stuttgart,Equity,3EV.STG,"Blucora Inc. Registered Shares "
Stuttgart,Equity,3HC.STG,"Lydian International Ltd. Regis"
Stuttgart,Equity,3IC.STG,"Icade S.A. Actions au Porteur o"
Stuttgart,Equity,3LQ.STG,"QMC Quantum Minerals Corp. Regi"
Stuttgart,Equity,3LSA.STG,"LSR Group PAO Reg.Shs (GDRs Reg"
Stuttgart,Equity,3MG.STG,"SJM Holdings Ltd. Registered Sh"
Stuttgart,Equity,3ND.STG,"NetDragon Websoft Holdings LtdR"
Stuttgart,Equity,3NO.STG,"Nostrum Oil & Gas PLC"
Stuttgart,Equity,3OI.STG,"Oishi Group Public Company Limited"
Stuttgart,Equity,3S7.STG,"Syrah Resources Ltd. Registered"
Stuttgart,Equity,3SE.STG,"Smartsheet Inc. Reg. Sh. Class "
Stuttgart,Equity,3SM.STG,"Smith Corp., A.O. Registered Sh"
Stuttgart,Equity,3U6.STG,"UGI CORP. Registered Shares o.N"
Stuttgart,Equity,47TA.STG,"TISCO Financial Group PCL Reg. "
Stuttgart,Equity,48K.STG,"Kofola CeskoSlovensko a.s."
Stuttgart,Equity,4DS.STG,"DALDRUP & SOEHNE AG Inhaber-Akt"
Stuttgart,Equity,4FG.STG,"Fuyao Glass Industry Group Co.R"
Stuttgart,Equity,4FY.STG,"Grupo Financie.Inburs.SAB d.CVR"
Stuttgart,Equity,4GM.STG,"Grupo Bimbo S.A.B. de C.V. Regi"
Stuttgart,Equity,4GO.STG,"Impulsora d.Des.y Empl.e.Am.L.R"
Stuttgart,Equity,4GY.STG,"The Gym Group plc"
Stuttgart,Equity,4HK.STG,"HKT Trust and HKT Ltd. Reg.Stap"
Stuttgart,Equity,4HM.STG,"VICAT S.A. Actions Port. EO 4"
Stuttgart,Equity,4J6.STG,"Luzerner Kantonalbank AG"
Stuttgart,Equity,4KH.STG,"Khiron Life Sciences Corp. Regi"
Stuttgart,Equity,4LL.STG,"Teladoc Health Inc. Registered "
Stuttgart,Equity,4NH.STG,"NIBC Holding N.V. Aandelen aan "
Stuttgart,Equity,4TW.STG,"TWC Enterprises Limited"
Stuttgart,Equity,4V1.STG,"VGP N.V. Actions Nom. o.N."
Stuttgart,Equity,4XB.STG,"XBiotech Inc. Registered Shares"
Stuttgart,Equity,55M.STG,"China MeiDong Auto Holdings Limited"
Stuttgart,Equity,58QA.STG,"58.com Inc. Reg.Shs Cl.A(ADRs)-"
Stuttgart,Equity,5AA.STG,"PT Wijaya Karya (Persero) Tbk.R"
Stuttgart,Equity,5AZ.STG,"AZEARTH Corporation"
Stuttgart,Equity,5CB.STG,"MPX Bioceutical Corp. Registere"
Stuttgart,Equity,5DQ2.STG,"Daqo New Energy Corp. Reg.Share"
Stuttgart,Equity,5EG.STG,"esure Group PLC Registered Shar"
Stuttgart,Equity,5EL.STG,"Elnusa Tbk, PT Registered Share"
Stuttgart,Equity,5FB.STG,"Fitbit Inc. Registered Shares A"
Stuttgart,Equity,5FN.STG,"FDK Corporation"
Stuttgart,Equity,5H5A.STG,"HBM Healthcare Investments AG N"
Stuttgart,Equity,5JB.STG,"JUMBO S.A. Namens-Aktien EO 0,8"
Stuttgart,Equity,5JJ.STG,"Jujubee S.A."
Stuttgart,Equity,5JW.STG,"W-SCOPE Corporation"
Stuttgart,Equity,5PL.STG,"Grupa Azoty S.A. Inhaber-Aktien"
Stuttgart,Equity,5TO.STG,"Troax Group AB Namn-Aktier A o."
Stuttgart,Equity,5XR.STG,"Xior Student Housing N.V. Actio"
Stuttgart,Equity,65C.STG,"Coface SA"
Stuttgart,Equity,65H.STG,"HTG Molecular Diagnostics Inc."
Stuttgart,Equity,6AA0.STG,"AAK AB Namn-Aktier SK 1,67"
Stuttgart,Equity,6CE.STG,"Groupe LDLC"
Stuttgart,Equity,6CK1.STG,"PT Wilmar Cahaya Indonesia Tbk."
Stuttgart,Equity,6CMA.STG,"Croda International PLC Regist."
Stuttgart,Equity,6CS.STG,"Casa Systems Inc. Registered Sh"
Stuttgart,Equity,6D8.STG,"DowDuPont Inc."
Stuttgart,Equity,6DW.STG,"D.Western Therapeutics Inst. Re"
Stuttgart,Equity,6E9.STG,"EMX Royalty Corporation"
Stuttgart,Equity,6G4.STG,"Gascoyne Resources Limited"
Stuttgart,Equity,6HG.STG,"Haydale Graphene Industries plc"
Stuttgart,Equity,6IM.STG,"I-Minerals Inc. Registered Shar"
Stuttgart,Equity,6JA.STG,"St.Augustine Gold a.Copper LtdR"
Stuttgart,Equity,6LA.STG,"Lamar Advertising Co. Registere"
Stuttgart,Equity,6M6.STG,"Welbilt Inc."
Stuttgart,Equity,6MY.STG,"Mylan N.V. Aandelen aan toonder"
Stuttgart,Equity,6OO.STG,"Ooma Inc. Registered Shares DL "
Stuttgart,Equity,6RM.STG,"RTG Mining Inc."
Stuttgart,Equity,6SH.STG,"Huckleberry Games S.A."
Stuttgart,Equity,6ZA.STG,"Zanaga Iron Ore Company Ltd. Re"
Stuttgart,Equity,71S.STG,"PT Surya Esa Perkasa Tbk"
Stuttgart,Equity,76W.STG,"SJW Group"
Stuttgart,Equity,777.STG,"GVIC Communications Corp."
Stuttgart,Equity,77S.STG,"Santander Consumer USA Hl.Inc.R"
Stuttgart,Equity,7CN.STG,"CNMC Goldmine Holdings Limited"
Stuttgart,Equity,7MY.STG,"MYOB Group Ltd. Registered Shar"
Stuttgart,Equity,7PO.STG,"Poxel S.A. Actions au Porteur E"
Stuttgart,Equity,7PX.STG,"PHX Energy Services Corp."
Stuttgart,Equity,7S8.STG,"SITC International Hldg.Co.LtdR"
Stuttgart,Equity,7VP.STG,"Cimpress N.V. Aandelen op naam "
Stuttgart,Equity,8BT.STG,"Briacell Therapeutics Corp. Reg"
Stuttgart,Equity,8DM.STG,"Demco Public Company Limited"
Stuttgart,Equity,8HY.STG,"HyreCar Inc."
Stuttgart,Equity,8OP.STG,"Opiant Pharmaceuticals Inc."
Stuttgart,Equity,8OX1.STG,"Oxley Holdings Limited"
Stuttgart,Equity,8PL.STG,"Plotinus Holding Nyrt"
Stuttgart,Equity,8SD.STG,"Seadrill Partners LLC Reg.Uts r"
Stuttgart,Equity,9AO.STG,"Atico Mining Corp. Registered S"
Stuttgart,Equity,9DC.STG,"Daicel Corporation"
Stuttgart,Equity,9EZ.STG,"Ezion Holdings Limited"
Stuttgart,Equity,9GT.STG,"Guodian Tech.&Enviro.Grp Corp.R"
Stuttgart,Equity,9IB.STG,"Infant Bacterial Therapeutics AB (publ)"
Stuttgart,Equity,9IS.STG,"Chaarat Gold Holdings Limited"
Stuttgart,Equity,9NF.STG,"NFI Group Inc. Registered Share"
Stuttgart,Equity,9ORN.STG,"Ocean Rig UDW Inc. Registered S"
Stuttgart,Equity,9PDA.STG,"Pinduoduo Inc. Reg. Shs (Spon.A"
Stuttgart,Equity,9RS.STG,"Sword Group S.E."
Stuttgart,Equity,9SH.STG,"Shake Shack Inc. Registered Sha"
Stuttgart,Equity,9ZR.STG,"Zeta Resources Limited"
Stuttgart,Equity,A02.STG,"Adways Inc. Registered Shares o"
Stuttgart,Equity,A44.STG,"Aena SME S.A. Acciones Port. EO"
Stuttgart,Equity,A5F.STG,"Amiad Water Systems Ltd. Regist"
Stuttgart,Equity,A89.STG,"Adocia SAS Actions Port. EO -,1"
Stuttgart,Equity,A8A.STG,"JDC Group AG Inhaber-Aktien o.N"
Stuttgart,Equity,A8C1.STG,"Abcam PLC Registered Shares LS "
Stuttgart,Equity,A9W1.STG,"SIIC Environment Holdings Ltd R"
Stuttgart,Equity,AA9.STG,"Alfa Laval AB Namn-Aktier SK 2,"
Stuttgart,Equity,AACA.STG,"Aalberts Industries N.V. Aandel"
Stuttgart,Equity,AAG.STG,"Aumann AG Inhaber-Aktien o.N."
Stuttgart,Equity,AAH.STG,"AHLERS AG NAMENS-AKTIEN O.N."
Stuttgart,Equity,AAJ.STG,"IsoRay Inc. Registered Shares D"
Stuttgart,Equity,AAM.STG,"Man Wah Holdings Ltd. Registere"
Stuttgart,Equity,AAO.STG,"AAON INC. Registered Shares DL "
Stuttgart,Equity,AAQ.STG,"AAP IMPLANTATE AG Inhaber-Aktie"
Stuttgart,Equity,AAU.STG,"AIFUL CORP. Registered Shares o"
Stuttgart,Equity,AAX1.STG,"Acma Ltd. Registered Shares o.N"
Stuttgart,Equity,AAY.STG,"Annaly Capital Management Inc.R"
Stuttgart,Equity,ABEC.STG,"Alphabet Inc. Reg. Shs Cap.Stk "
Stuttgart,Equity,ABHA.STG,"Hasen-Immobilien AG"
Stuttgart,Equity,ABJ.STG,"ABB LTD. Namens-Aktien SF 0,12"
Stuttgart,Equity,ACBB.STG,"Alpha Bank A.E. Namens-Aktien E"
Stuttgart,Equity,ACD.STG,"Adecoagro S.A. Actions Nominati"
Stuttgart,Equity,ACI.STG,"Astaldi S.p.A. Azioni nom. o.N."
Stuttgart,Equity,ACJ.STG,"Altri SGPS S.A. Aces Port. EO -"
Stuttgart,Equity,ACX.STG,"bet-at-home.com AG Inhaber-Akti"
Stuttgart,Equity,AD8.STG,"Arcos Dorados Holdings Inc. Reg"
Stuttgart,Equity,ADB.STG,"Adobe Inc. Registered Shares o."
Stuttgart,Equity,ADC.STG,"ADCAPITAL AG Inhaber-Aktien o.N"
Stuttgart,Equity,ADY.STG,"AMEDISYS INC. Registered Shares"
Stuttgart,Equity,AEDA.STG,"Grupo Aerop.del Sureste SAB CVR"
Stuttgart,Equity,AEG.STG,"auFeminin.com"
Stuttgart,Equity,AEND.STG,"AEGON N.V. Aandelen op naam(dem"
Stuttgart,Equity,AEU.STG,"Prysmian S.p.A. Azioni nom. EO "
Stuttgart,Equity,AF5.STG,"Akka Technologies Actions au Po"
Stuttgart,Equity,AFA.STG,"ARRIS International PLC Registe"
Stuttgart,Equity,AFH.STG,"US Ecology Inc. Registered Shar"
Stuttgart,Equity,AFL.STG,"AFLAC INC. Registered Shares DL"
Stuttgart,Equity,AFN.STG,"Tivity Health Inc."
Stuttgart,Equity,AFO1.STG,"ASSOCIATED BRITISH FOODS PLC Re"
Stuttgart,Equity,AFT.STG,"ABERCROMBIE & FITCH CO. Reg. Sh"
Stuttgart,Equity,AFW.STG,"ALIGN TECHNOLOGY INC. Registere"
Stuttgart,Equity,AFX.STG,"Carl Zeiss Meditec AG Inhaber-A"
Stuttgart,Equity,AFZ.STG,"Africa Oil Corp. Registered Sha"
Stuttgart,Equity,AGE.STG,"AGFA-GEVAERT N.V. Actions au Po"
Stuttgart,Equity,AGJ.STG,"AGCO CORP. Registered Shares DL"
Stuttgart,Equity,AGX.STG,"Agennix AG i.A. Inhaber-Aktien "
Stuttgart,Equity,AHC.STG,"Hess Corp. Registered Shares DL"
Stuttgart,Equity,AHG1.STG,"Pure Energy Minerals Ltd. Regis"
Stuttgart,Equity,AHLA.STG,"Alibaba Group Holding Ltd. Reg."
Stuttgart,Equity,AHOD.STG,"Ahold Delhaize N.V., Konkinkl.A"
Stuttgart,Equity,AHR.STG,"Ascena Retail Group Inc. Regist"
Stuttgart,Equity,AHV.STG,"AXT INC. Registered Shares DL -"
Stuttgart,Equity,AIL.STG,"AIR LIQUIDE-SA ET.EXPL.P.G.CL.A"
Stuttgart,Equity,AIRA.STG,"Airbus SE Aand.op naam(unsp.ADR"
Stuttgart,Equity,AIW.STG,"Aldridge Minerals Inc. Register"
Stuttgart,Equity,AIXA.STG,"AIXTRON SE Namens-Aktien o.N."
Stuttgart,Equity,AJ91.STG,"DocCheck AG Namens-Aktien o.N."
Stuttgart,Equity,AJB.STG,"Airtech Japan Ltd."
Stuttgart,Equity,AJI.STG,"AJINOMOTO CO. INC. Registered S"
Stuttgart,Equity,AJL1.STG,"A.J. Plast Public Company Limited"
Stuttgart,Equity,AJN.STG,"Ajisen (China) Holdings Ltd. Re"
Stuttgart,Equity,AJP.STG,"ARTPRICE.COM S.A. Actions Port."
Stuttgart,Equity,AJXA.STG,"AFC Ajax N.V. Aandelen op naam "
Stuttgart,Equity,AJZ.STG,"Arca Continental, S. A. B. de C. V."
Stuttgart,Equity,AKB2.STG,"Akbank T.A.S. Reg.Shares (ADRs)"
Stuttgart,Equity,AKG.STG,"ANDERSONS INC., THE Registered "
Stuttgart,Equity,AKK.STG,"AZKOYEN S.A. Acciones Port.EO 0"
Stuttgart,Equity,AKOA.STG,"Embotelladora Andina S.A."
Stuttgart,Equity,AKP.STG,"ANIKA THERAPEUTICS INC. Registe"
Stuttgart,Equity,AKU.STG,"AKZO NOBEL N.V. Aandelen aan to"
Stuttgart,Equity,AKUN.STG,"AKZO NOBEL N.V. Aand.op naam (S"
Stuttgart,Equity,AKX.STG,"ANSYS INC. Registered Shares DL"
Stuttgart,Equity,ALVA.STG,"Allianz SE V.NAM.-AKT. (SP.ADRS"
Stuttgart,Equity,ALZC.STG,"Assa-Abloy AB Namn-Aktier B SK "
Stuttgart,Equity,AM6.STG,"Amicus Therapeutics Inc. Regist"
Stuttgart,Equity,AMNA.STG,"AMBEV S.A. Reg. Shs (Spons. ADR"
Stuttgart,Equity,AMY.STG,"Amer Sports Corp. Registered Sh"
Stuttgart,Equity,ANCA.STG,"ANA Holdings Inc. Registered Sh"
Stuttgart,Equity,AND.STG,"A-Mark Precious Metals Inc."
Stuttgart,Equity,AOC.STG,"Aluminum Corp. of China Ltd. Re"
Stuttgart,Equity,AOCA.STG,"Aluminum Corp. of China Ltd. Re"
Stuttgart,Equity,AOD.STG,"Anglogold Ashanti Ltd. Reg. Shs"
Stuttgart,Equity,AOE.STG,"ALICO INC. Registered Shares DL"
Stuttgart,Equity,AOO.STG,"Aedifica S.A. Actions au Port. "
Stuttgart,Equity,AOP.STG,"Hang Lung Properties Ltd. Regis"
Stuttgart,Equity,AOS.STG,"AMDOCS LTD. Registered Shares L"
Stuttgart,Equity,AOT.STG,"BinckBank N.V. Aandelen aan too"
Stuttgart,Equity,AOX.STG,"alstria office REIT-AG Inhaber-"
Stuttgart,Equity,AOY.STG,"Alpha & Omega Semiconductor Reg"
Stuttgart,Equity,AOZ.STG,"Echo Global Logistics Inc. Regi"
Stuttgart,Equity,APK.STG,"AMERIGAS PARTNERS L.P. Reg. Uni"
Stuttgart,Equity,APY.STG,"YDreams Glob.Interact.Tech.IncR"
Stuttgart,Equity,AQA.STG,"Advanced Medical Solut.Grp PLCR"
Stuttgart,Equity,AQE.STG,"Anhui Conch Cement Co. Ltd. Reg"
Stuttgart,Equity,AQGB.STG,"Aradigm Corporation"
Stuttgart,Equity,AQHE.STG,"Event Hospitality & Entmt Ltd.R"
Stuttgart,Equity,AQK.STG,"Aqua Metals Inc. Registered Sha"
Stuttgart,Equity,AQL.STG,"ARQULE INC. Registered Shares D"
Stuttgart,Equity,AR2.STG,"Array BioPharma Inc."
Stuttgart,Equity,ARAH.STG,"Aleafia Health Inc. Registered "
Stuttgart,Equity,ASAA.STG,"ASAHI KASEI CORP. Registered Sh"
Stuttgart,Equity,ASI1.STG,"ASICS CORP. Registered Shares o"
Stuttgart,Equity,ASJA.STG,"Astra International TBK, PT Reg"
Stuttgart,Equity,ASME.STG,"ASML Holding N.V. Aandelen op n"
Stuttgart,Equity,ASZ.STG,"Alimera Sciences Inc. Registere"
Stuttgart,Equity,ATI.STG,"Athabasca Oil Corp. Registered "
Stuttgart,Equity,ATQP.STG,"Vericel Corp. Registered Shares"
