region,type,symbol,name
Hamburg,Equity,013A.HAM,"JD.COM SP.ADR A1 DL-00002"
Hamburg,Equity,1BR1.HAM,"URW (STAPLED SHS)  EO-,05"
Hamburg,Equity,1IP.HAM,"IPH Limited"
Hamburg,Equity,3A2.HAM,"AVZ Minerals Limited"
Hamburg,Equity,3B7.HAM,"BEADELL RESOURCES LTD"
Hamburg,Equity,3BG.HAM,"U-BLOX HOLDING NAM.SF-,90"
Hamburg,Equity,3S7.HAM,"SYRAH RESOURCES LTD"
Hamburg,Equity,46M.HAM,"QMS MEDIA LTD"
Hamburg,Equity,4P1.HAM,"PNX METALS LTD."
Hamburg,Equity,5AM.HAM,"HASTINGS TECHNOLOGY M.LTD"
Hamburg,Equity,5TR.HAM,"DGH Deutsche Grundwert Holding AG"
Hamburg,Equity,6D8.HAM,"DOWDUPONT INC.  O.N."
Hamburg,Equity,6MY.HAM,"MYLAN N.V.  EO -,01"
Hamburg,Equity,A44.HAM,"AENA SME S.A.  EO 10"
Hamburg,Equity,A8A.HAM,"JDC GROUP AG O.N."
Hamburg,Equity,A9W1.HAM,"SIIC ENVIRONM. HLDS"
Hamburg,Equity,AAG.HAM,"AUMANN AG  INH O.N."
Hamburg,Equity,AAQ.HAM,"AAP IMPLANTATE AG"
Hamburg,Equity,AB9.HAM,"ABO Wind AG"
Hamburg,Equity,ABEC.HAM,"ALPHABET INC.CL C DL-,001"
Hamburg,Equity,ABJ.HAM,"ABB LTD. NA  SF 0,12"
Hamburg,Equity,ABO.HAM,"ABO INVEST AG"
Hamburg,Equity,ACR.HAM,"ACCOR SA INH.  EO 3"
Hamburg,Equity,ADB.HAM,"ADOBE INC."
Hamburg,Equity,ADN1.HAM,"ADESSO AG  O.N."
Hamburg,Equity,AEND.HAM,"AEGON NV (DEMAT.)  EO-12"
Hamburg,Equity,AFL.HAM,"AFLAC INC.  DL -,10"
Hamburg,Equity,AFX.HAM,"CARL ZEISS MEDITEC AG"
Hamburg,Equity,AGV.HAM,"AGIV REAL ESTATE O.N."
Hamburg,Equity,AGX.HAM,"AGENNIX AG I.A."
Hamburg,Equity,AHS.HAM,"ADMIRALTY RES"
Hamburg,Equity,AIXA.HAM,"AIXTRON SE NA O.N."
Hamburg,Equity,APA.HAM,"APACHE CORP.  DL -,625"
Hamburg,Equity,AQHE.HAM,"EVENT HOSPITALITY+ENTMT"
Hamburg,Equity,AUB.HAM,"LEPIDICO LTD"
Hamburg,Equity,AV7.HAM,"AVW Immobilien AG"
