region,type,symbol,name
Korea,ETF,091210.KOR,"TIGER KRX100 ETF"
Korea,ETF,097750.KOR,"TREX MSVALUE"
Korea,ETF,148070.KOR,"KOSEF 10yr KTB"
Korea,ETF,152380.KOR,"Kodex 10Y F-LKTB"
Korea,ETF,153270.KOR,"KOSEF iKon 100"
Korea,ETF,168300.KOR,"Hana UBS KTOP KOSPI50 Securities ETF Investment Trust - Equity"
Korea,ETF,176950.KOR,"Samsung Kodex 10 Year F-LKBT Inverse ETF - Bonds-Derivatives"
Korea,ETF,192720.KOR,"Kyobo Axa Power LVHD ETF - Equity"
Korea,ETF,196030.KOR,"KINDEX Japan Leverage ETF"
Korea,ETF,196230.KOR,"KStar Short-term MSB ETF (Bond)"
Korea,ETF,228820.KOR,"Mirae Asset Tiger KTOP 30 ETF"
Korea,ETF,229200.KOR,"KODEX KOSDAQ 150"
Korea,ETF,229720.KOR,"KODEX KTOP 30"
Korea,ETF,232080.KOR,"Mirae Asset Tiger KOSDAQ150 ETF"
Korea,ETF,233160.KOR,"Mirae Asset Tiger KOSDAQ150 Leverage ETF"
Korea,ETF,233740.KOR,"KODEX KOSDAQ150 Leverage"
Korea,ETF,252410.KOR,"KB Asset Management Co Ltd - KBStar 200 Futures Inverse ETF"
Korea,ETF,253290.KOR,"KBSTAR HealthCare Fixed Income "
Korea,ETF,261070.KOR,"Mirae Asset KOSDAQ150Biotech ETF"
Korea,ETF,272560.KOR,"KBSTAR Short KTB Active"
Korea,ETF,273130.KOR,"KODEX Active Korea Total Bond Market AA-"
Korea,ETF,275750.KOR,"KBSTAR F-KOSDAQ150 Inverse"
Korea,ETF,276650.KOR,"KBSTAR Global 4IR IT(SYNTH H)"
Korea,ETF,278240.KOR,"KBSTAR F-KOSDAQ150 Leverage"
Korea,ETF,292770.KOR,"KODEX 3Y F-KTB INVERSE"
Korea,ETF,300610.KOR,"TIGER K-Game ETF"
Korea,ETF,301410.KOR,"ARIRANG KOSDAQ150 F-Inverse"
Korea,ETF,306960.KOR,"KODEX F-KRX300 Inverse"
